Estimated molecular formula	M/Z	Mlp102036	Mlp106078	Mlp123227	Mlp123531	Mlp124256	Mlp124266	Mlp124357	Mlp124466	Mlp124497	Mlp124499	Mlp124518	Mlp37347	Mlp72983	Mlp123218
C25H37O21N1	686.178529	-2.757236756	-0.662577334	-1.595122418	-2.292933877	0.0383487	-2.757236756	-2.757236756	-1.553876868	-1.47461984	-0.867192873	-2.118851719	-0.864290196	0.652702779	-1.783976211
C25H38O11	513.234134	2.158220321	0	2.119694476	0	0	0	0	0	0	1.701358794	1.987062029	0	0	1.514472796
C25H38O12	529.229049	0	0	2.485663122	2.245033204	0	0	0	0	0	2.195260905	0	0	0	1.785110966
C25H38O13	545.223963	1.445553863	1.142917847	1.321551209	0	0	1.146744902	1.372757049	0	0	2.024150647	0	0	0	0
C25H40O11	515.249784	2.206273399	0	3.048973166	2.088150649	0	3.301935432	0	0	0	2.921482075	2.996410033	0	0	1.674113948
C25H41O13N1	562.250512	-2.506016014	1.268390354	1.348951427	-1.724398395	-1.181670562	1.209488244	-0.304424326	-1.015790209	1.683755158	0.393433761	1.381992397	1.175234448	-3.91913889	1.63200941
C25H42O11	517.265434	2.901003174	0	3.783758237	3.197383874	0	3.54838444	0	0	0	4.231811131	3.306591105	0	0	3.381309444
C25H42O12	533.260349	0	0	4.004819552	2.407798903	0	4.216806441	0	0	0	3.361588822	3.573384409	0	0	2.152175044
C25H42O14N2	593.256326	1.38660487	1.779192408	2.070910151	1.499558936	2.419027684	2.504340508	2.578432227	1.807414535	3.065871657	1.588687396	2.009094913	1.250613135	0.927836256	1.543209548
C25H42O7	453.285776	2.188628035	0.716045567	0	1.446015149	0.734240809	0.567697936	0	0.597417968	0	0.905284851	0	0	0.614322773	0.648693935
C25H44O20	663.235315	-1.211585517	-1.26483582	-0.490025845	-2.157528024	-0.462023119	-2.157528024	-2.157528024	-1.068755196	-1.475595165	-1.405011885	-1.103585295	0.020414741	-0.203511392	-0.972134461
C25H45O12N1	550.286898	0.430279204	-0.418048928	0.987627596	-1.105890254	0.498886242	-2.060337896	-2.060337896	-1.183281604	1.024356308	0.140112826	0.105731032	1.542598873	0.714879212	0
C25H8O18	594.963786	0	0	0.713288256	0	0	0	0	0	0	0.540388232	0	0	0	3.349221911
C26H14O17	597.015822	-2.512423716	-2.512423716	-2.512423716	-2.512423716	-2.512423716	-2.512423716	-2.512423716	-2.512423716	-2.512423716	-2.512423716	-2.512423716	-1.208185664	-2.512423716	0
C26H25O12N1	542.130398	-3.716336325	-1.322648398	-4.879431477	-2.425365839	-1.050428774	-4.879431477	-2.617710232	-0.615548729	-0.52201553	-4.198427563	-2.492860034	-1.551523299	-3.900367207	-1.295273737
C26H26O21	673.08938	1.112616647	2.549045983	3.305452441	0.105197188	1.397689804	2.926203766	0.642120074	0.682792074	0.648932598	2.231495836	2.689891023	1.117808028	-0.575764095	-0.926049188
C26H27O13N1	560.140962	2.795967381	0.71430598	0.709166824	1.551126973	-0.42590451	1.173097166	0.313306888	0.115741266	0.656138868	1.315666044	2.301921005	1.292429868	-0.800164106	1.726352962
C26H27O14N1	576.135877	2.061207651	-0.545946141	0.062645136	1.115899616	0.00746763	0.338544341	0.858171451	0.766458853	-0.023054956	0.484985037	1.148899329	0.566198396	-0.545946141	-0.545946141
C26H28O16	595.130457	-0.743317625	-1.252952071	-0.833237548	-0.404318377	-0.518715515	-2.084965251	-1.219799744	-0.129993968	-1.526153129	-2.084965251	-0.787314705	-0.8799589	0.009530755	-0.981107665
C26H29O11N1	530.166783	1.001059927	0.920985823	-1.304923361	2.048670596	0.139468856	-0.431939102	0.414164503	0.255024432	0.297400473	0.453071747	-0.128383015	0.589359467	0.328504531	0.444889438
C26H30O16N2	625.152255	2.412892224	2.376052102	2.108628425	0.29955394	0.053614319	1.067741855	0.027438527	-0.036133714	0.052304547	0.800200986	0.877669571	1.680741127	0.494555091	0.699804627
C26H30O17	613.141022	-4.287953043	0.698385046	0.74379507	-1.201072266	0.330550613	1.029565399	-0.675847546	-1.150928954	0.486605264	-0.3637409	1.196446758	0.283813976	-1.474215463	-3.855004294
C26H32O18N2	659.157734	0.774103222	0.113120162	3.191796175	-0.662945843	-0.195333006	0.290928436	0.758210841	-0.662945843	0.356039399	2.973158975	2.897855059	-0.662945843	-0.662945843	0.753966503
C26H33O14N1	582.182827	0.260491034	0.708475296	2.467221448	-0.767698352	0.490068292	1.784384151	1.029554582	0.118834207	1.276577411	1.225285069	1.727751749	1.191315468	-1.671949315	1.956761169
C26H33O16N1	614.172656	-2.11606594	1.546843076	0.754032017	-0.622410855	-0.731967717	0.315323117	-0.598536045	-0.288231616	1.119884345	0.132699562	0.369852793	1.206079844	-1.72438544	0.072772452
C26H34O14N2	597.193726	5.658769887	5.264029092	5.938317615	4.578051125	0	5.23065931	5.234361857	2.610621804	5.545435928	5.30092263	5.986200832	5.369074422	0	4.816807042
C26H34O16N2	629.183555	2.228863989	0	0	0	0	0	0	0	0	0	0	0	0	1.554642624
C26H38O17	621.203622	-2.192004004	-1.482893689	-2.220499824	-0.703543549	-0.362632775	-0.928523805	-0.417053823	-1.129704401	-0.875093814	-1.386953991	-1.650988112	-0.688716597	-0.630476279	-1.198863105
C26H43O14N1	592.261077	3.408689236	1.320927736	2.189752666	2.031679074	-1.46525499	1.275569342	1.94709978	0.429086926	1.926053059	2.281440678	2.611004066	1.758652653	-0.297278499	2.827118673
C26H43O15N1	608.255991	0.98302713	1.403310934	1.698881704	0.913409998	2.001241093	2.242593801	1.960283303	0.878298827	2.743545838	1.603933693	1.688379006	0.565473431	-0.364321997	0.844769
C26H44O11	531.281084	-0.20212145	-0.402542118	1.34674871	-1.760430645	0.415185332	-3.236053739	-1.377381847	-0.918368714	0.42799703	-0.024224028	-1.678219095	0.703306038	0.512507767	-0.058721126
C26H44O12	547.275999	0.085351888	-0.23124782	2.114347681	-0.66070292	0.774251307	-0.683166409	-0.234304763	0.109428808	0.528944876	0.771540131	0.036782845	0.603301313	0.694708667	0.10715222
C26H44O13	563.270913	-0.57217059	-0.088702445	0.604199512	-0.275841702	-0.171587522	-0.603777207	-0.0317197	-0.187073071	0.396325314	0.556657104	-3.006230933	-0.407155309	0.128559142	-1.491329271
C26H47O14N1	596.292377	0.1453171	-2.79962931	0.601629197	1.202158711	-2.79962931	1.404578658	0.980328824	0.757526176	1.792580199	0.042304059	-0.559715819	0.094438955	0.929530653	0
C26H47O17N1	644.277121	0.636316944	0.901640507	0.908599713	0.745380015	1.582661355	1.700066719	1.264227906	0.839087766	2.288371901	0.957445467	0.560382539	0	0.487805448	0
C27H22O12	537.103849	-2.212451489	-2.212451489	-2.212451489	-2.212451489	-0.971897809	-2.212451489	-1.502435098	-0.812201814	-2.212451489	-2.212451489	-2.212451489	-2.212451489	0.17069779	-2.212451489
C27H25O17N1	634.104971	1.16943077	0.654898139	2.295906048	0.503356371	0.541809237	1.327264632	0	0.459745429	0	0.796261202	0	1.036349937	0.362276854	0
C27H27O13N1	572.140962	-3.107757453	-2.146931334	-3.107757453	-2.10116358	-0.710045143	-3.107757453	-3.107757453	-1.374967827	-1.653444869	-3.107757453	-3.107757453	-2.059307112	-3.107757453	-1.809755658
C27H28O5	431.186397	1.749331605	0.870485242	-2.725568775	1.510045209	-2.725568775	0.08223003	0.633848899	1.324069263	1.047117874	0.424829821	1.47502559	0.350900563	-0.402420682	2.961762445
C27H30O12N2	573.172597	2.071303554	0.829725539	1.422901942	1.551135661	-1.739578313	-0.044339355	0.77568639	-0.218824284	0.870985662	2.255237091	1.789645817	1.293929823	-5.829866226	2.047185413
C27H30O13N2	589.167511	2.239620819	0.597988517	3.47096934	0.392955362	0.034940927	1.193613826	3.097831057	0.749948601	1.431031786	2.773452178	1.355921559	0.112535466	-0.019185446	0.629176079
C27H30O16	609.146107	-0.578636431	-0.218533044	-1.200841343	-0.710254039	-0.056446798	-2.054367501	-1.543525418	-0.689738321	-0.700189529	-0.592003964	-1.165665685	-0.668504157	0.556758103	-1.648413379
C27H30O17	625.141022	-2.858165864	-2.395498373	-2.810655169	-1.125494862	-1.572588962	-3.427338549	-2.755636904	-1.688151244	-3.427338549	-3.427338549	-2.924787042	-1.360629799	0.020075628	-0.746405786
C27H30O21	689.12068	-2.090866173	-0.316199511	-1.382932265	-1.131489215	-0.230181409	-0.767782424	-0.39667071	-2.090866173	0.116944761	-0.127687701	-0.40142796	0.311146545	-0.061390257	-1.288491259
C27H31O17N1	640.151921	-3.123101536	1.433412454	0.828185188	-1.273454405	-0.656136109	0.671542977	-0.989465108	-0.740577932	1.155837482	0.477758758	0.526092951	0.725717366	-2.38358576	-1.181484633
C27H31O18N1	656.146835	-4.571464304	0.571119975	-0.739860425	-2.179612265	-1.353477315	-0.918364218	-2.143161096	-1.525727307	0.358776234	-0.313560312	-0.404032353	0.086062773	-2.916928901	-1.900614153
C27H32O16N2	639.167905	0	0	2.377685628	0	0	1.257077086	1.934712082	0	1.204843559	1.117538091	1.265517729	0	0	0
C27H33O18N1	658.162485	1.392493905	0.462854354	3.820334425	0.451207087	0.651165483	1.104660592	1.443845944	0	1.309533859	3.665589187	3.572979589	1.071641655	0	0
C27H36O15N2	627.204291	3.621163012	3.194471454	4.379392964	2.705142856	0.216974492	3.286546195	3.189835239	0.836700991	3.270453122	3.232447532	4.020485149	3.605962487	-1.726087232	2.901192266
C27H36O19N2	691.183949	2.225281668	0	0.802301227	1.561128163	0	0	0	0	0	0.685020777	0	0	0.706221931	0
C27H38O20	681.188365	-2.69301313	-2.701659387	-3.254246507	-3.489547977	-2.259762271	-3.948369203	-3.948369203	-3.030065997	-3.948369203	-3.948369203	-3.948369203	-1.598570022	-0.314118496	-1.303971956
C27H39O13N1	584.234862	2.286251104	0.841965539	1.12429014	0.976278294	0	0.788949283	1.398565148	0	1.664525496	1.321272942	1.746096888	1.11843747	0	2.013481515
C27H40O12	555.244699	-0.062191112	-2.00095688	-0.197623794	-0.318393041	-0.458639981	0.475170109	0.931596409	-2.00095688	-2.00095688	-2.00095688	-2.00095688	-0.34326603	-0.661414057	-2.00095688
C27H40O6	459.275211	0	0	2.364683634	0	0	0	0	0	0	0	0.525223572	0	0	0
C27H42O12	557.260349	2.33164843	0	1.898385666	1.87997477	0	1.276922414	1.778038931	1.596765426	1.107081769	2.456615087	1.972383244	0	0	1.107756489
C27H42O17	637.234922	-2.280227231	-1.713677241	-2.280227231	-1.113427887	-1.56913204	-2.280227231	-1.754587382	-1.100953652	-1.210510049	-1.638935014	-1.753604581	-2.280227231	-0.340024915	-1.598662953
C27H44O12	559.275999	-0.01178839	-0.075804526	0.509845716	0.149799852	-2.308540587	0.139067794	0.681284952	0.368042034	-0.211634651	0.453921104	0.647296261	-2.308540587	-2.308540587	-0.175034141
C27H45O13N1	590.281812	-2.134825017	1.007894266	0.107854969	-1.576685323	-1.055027323	-0.13254407	-0.998938606	-1.139973808	1.596960419	-0.121960273	1.371325573	1.36397272	-2.134825017	0.975140462
C27H46O13	577.286563	0	0	2.40632145	0	0	0	0	0	0	1.503157425	1.448795792	0	0	0
C27H46O17	641.266222	2.138863035	0.690300372	1.539887865	2.179902298	0.366374059	2.760307696	2.029106805	1.959829207	1.506925044	1.459471235	0.787703282	0.713986159	2.059353906	1.769091291
C27H46O7	481.317076	2.318257729	0.280327388	-0.282552984	1.416755526	0.06029487	-0.191323373	0.227808307	1.078381224	-1.195858462	0.697586843	-0.314649965	-0.109172381	0.781404929	1.08617528
C27H50O16	629.302607	-2.390484012	-2.390484012	-2.390484012	-2.390484012	-0.991226598	-2.390484012	-2.390484012	-2.390484012	-2.390484012	-2.390484012	-2.390484012	-2.390484012	-0.520516071	-2.390484012
C28H23O19N1	676.07915	-0.452093714	-0.164083762	0.360836749	-0.9640752	0.091654657	-0.667249321	-1.332949048	-0.900421161	-0.618797789	0.564329253	-0.560808976	-0.019120659	0.064281159	-2.149125107
C28H30O14	589.156278	0	0	0	0	0	0	0	0	0	0	0	0	0	4.851876525
C28H30O15	605.151192	-2.380235774	-0.885156122	-1.143711947	-1.336152322	-0.705587389	-1.671966435	-1.601268975	-1.218804245	-1.801400337	-1.37796905	-1.597000639	-1.124166731	0.818100738	-1.392088149
C28H32O14	591.171928	-1.799718183	-0.900052681	-4.194674219	-0.725227793	-1.172237657	-5.365420917	-5.006000058	-4.258547212	-1.812851757	-1.569774634	-2.742575533	-0.030965972	-2.935284485	2.219057687
C28H32O17	639.156672	-2.32992949	-1.335018482	-1.969135736	-0.677967024	-0.772457351	-1.362784046	-0.754764953	-0.618935093	-2.013196328	-2.480586346	-1.91533519	-0.436090199	-0.395868822	-1.736085169
C28H34O16	625.177407	0.396487936	0.55353144	2.102766623	-0.780111206	0.514293541	-0.195704633	0.346127067	-1.190183812	0.737674329	0.922914578	0.495199482	-1.078873215	-0.99447327	0.165508029
C28H35O15N1	624.193391	1.496989171	0	0.759605213	0	0	1.95011487	1.428304484	0	0.743435451	2.202751145	1.787260914	0.586364602	0	0.702360217
C28H36O19	675.177801	-2.165539528	-1.082628049	-2.165539528	-1.402445995	-2.165539528	-2.165539528	-2.165539528	-1.625020062	-2.165539528	-2.165539528	-2.165539528	-2.165539528	-1.812786388	-2.165539528
C28H37O15N1	626.209042	-2.267341655	0.268733408	-3.615345182	-2.507024389	-0.048252566	-2.692017639	-1.102632036	-1.057684914	0.956443644	-2.231013663	-0.236460433	-0.978359565	-4.287702144	-0.362263111
C28H38O18	661.198536	-2.575429706	-1.884918746	-5.607921782	-0.849603326	-1.435846484	-5.018495739	-3.408341573	-1.762104479	-2.438271322	-3.686949678	-3.43684746	-0.8541205	-0.512192343	-0.535809005
